epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,30.3102,1.13968,1.98506,1.23487,0.46403,0.43538,0.43508,0.27902,1.23033,2.45566,1.42648,0.000299393,0.000299393,0.000299393
2,55.0408,1.26864,1.71984,1.34519,0.50684,0.43963,0.45075,0.2892,1.41434,2.3617,1.6504,0.000596429,0.000596429,0.000596429
3,79.5857,1.34141,1.78624,1.39069,0.43946,0.43556,0.37403,0.22918,1.41588,2.2505,1.57491,0.000887466,0.000887466,0.000887466
4,104.05,1.34607,1.72491,1.40366,0.61339,0.37219,0.43431,0.25808,1.36378,2.84261,1.56605,0.000882003,0.000882003,0.000882003
5,128.493,1.30963,1.6276,1.37277,0.39666,0.39334,0.36636,0.23981,1.35091,2.15655,1.50236,0.000873004,0.000873004,0.000873004
6,152.938,1.26259,1.49437,1.35165,0.56309,0.54309,0.53504,0.34804,1.19362,1.95978,1.33589,0.000864004,0.000864004,0.000864004
7,177.548,1.26877,1.51182,1.34233,0.54668,0.49969,0.50855,0.33103,1.29753,1.78808,1.36903,0.000855005,0.000855005,0.000855005
8,202.154,1.2151,1.44831,1.31344,0.56246,0.51064,0.50642,0.33363,1.26515,1.85463,1.445,0.000846006,0.000846006,0.000846006
9,226.693,1.23696,1.44425,1.33745,0.68169,0.52513,0.60043,0.40156,1.17498,1.54619,1.31456,0.000837007,0.000837007,0.000837007
10,251.408,1.19981,1.38967,1.31754,0.56172,0.56882,0.58849,0.39543,1.18069,1.56008,1.28729,0.000828008,0.000828008,0.000828008
11,275.967,1.19038,1.35421,1.30904,0.62424,0.63211,0.65698,0.44433,1.11606,1.30328,1.24368,0.000819009,0.000819009,0.000819009
12,300.645,1.16275,1.28076,1.28554,0.71061,0.5997,0.65737,0.44958,1.15401,1.34866,1.28854,0.00081001,0.00081001,0.00081001
13,325.295,1.13308,1.27311,1.26978,0.61144,0.54424,0.59193,0.41194,1.14747,1.42873,1.29928,0.000801011,0.000801011,0.000801011
14,349.804,1.13575,1.26869,1.26294,0.67891,0.65136,0.68897,0.46972,1.11996,1.30665,1.28522,0.000792012,0.000792012,0.000792012
15,374.4,1.11814,1.20255,1.26091,0.69886,0.56282,0.63871,0.43362,1.15761,1.39977,1.25425,0.000783013,0.000783013,0.000783013
16,399.094,1.09278,1.1457,1.23381,0.67762,0.64844,0.67953,0.48168,1.0567,1.20183,1.22062,0.000774013,0.000774013,0.000774013
17,423.719,1.06039,1.0976,1.21408,0.69202,0.61911,0.67102,0.46933,1.07272,1.20159,1.22538,0.000765014,0.000765014,0.000765014
18,448.231,1.05776,1.11294,1.21917,0.69026,0.56139,0.62345,0.41911,1.1754,1.33184,1.3184,0.000756015,0.000756015,0.000756015
19,472.735,1.03545,1.06353,1.19813,0.75464,0.61451,0.71381,0.50912,1.01123,1.02577,1.19076,0.000747016,0.000747016,0.000747016
20,497.414,1.07165,1.08884,1.23412,0.72146,0.59874,0.68588,0.4799,1.0186,1.19719,1.19429,0.000738017,0.000738017,0.000738017
21,521.893,1.02982,1.06486,1.19879,0.70649,0.63439,0.70711,0.50175,1.01124,1.15113,1.19939,0.000729018,0.000729018,0.000729018
22,546.551,1.02263,1.03873,1.19721,0.75935,0.64485,0.71964,0.50978,1.01485,1.09487,1.17226,0.000720019,0.000720019,0.000720019
23,571.236,1.02853,1.02104,1.19232,0.62727,0.70732,0.7048,0.50269,1.00954,1.09904,1.19499,0.00071102,0.00071102,0.00071102
