epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,110.514,1.186,3.41425,0.00825,0.48962,0.32771,0.32794,0.24417,1.10388,2.40464,0.0113,0.000299393,0.000299393,0.000299393
2,235.678,1.27914,2.18662,0.00978,0.38427,0.47014,0.40131,0.26184,1.43298,2.24472,0.01487,0.000596429,0.000596429,0.000596429
3,315.935,1.35626,1.91903,0.01056,0.60637,0.48127,0.52063,0.34401,1.32308,1.78631,0.01338,0.000887466,0.000887466,0.000887466
4,405.898,1.37946,1.74966,0.01077,0.6166,0.49584,0.56474,0.38343,1.26834,1.70211,0.01426,0.000882003,0.000882003,0.000882003
5,489.361,1.39783,1.65621,0.01055,0.56537,0.5219,0.54239,0.35555,1.33785,1.81023,0.01484,0.000873004,0.000873004,0.000873004
6,567.685,1.3795,1.55661,0.01074,0.71907,0.55865,0.66259,0.44544,1.25296,1.37159,0.01365,0.000864004,0.000864004,0.000864004
7,684.866,1.34088,1.48255,0.01006,0.63095,0.56542,0.6357,0.43402,1.21579,1.38372,0.0129,0.000855005,0.000855005,0.000855005
8,812.466,1.30809,1.40228,0.01023,0.69368,0.59384,0.63605,0.44487,1.17882,1.46225,0.01195,0.000846006,0.000846006,0.000846006
9,897.309,1.30097,1.36017,0.01009,0.67897,0.60582,0.66505,0.46894,1.21396,1.46068,0.0125,0.000837007,0.000837007,0.000837007
10,990.652,1.29204,1.33811,0.01011,0.7326,0.60457,0.69042,0.47926,1.21406,1.33338,0.01228,0.000828008,0.000828008,0.000828008
11,1115.25,1.25914,1.31999,0.00922,0.7372,0.60272,0.68068,0.4788,1.22139,1.26747,0.0131,0.000819009,0.000819009,0.000819009
12,1196.85,1.2858,1.28012,0.00962,0.72613,0.65497,0.69002,0.48093,1.18362,1.22942,0.01124,0.00081001,0.00081001,0.00081001
13,1308.76,1.2642,1.28018,0.00947,0.67573,0.6074,0.65872,0.46649,1.19516,1.39779,0.0115,0.000801011,0.000801011,0.000801011
14,1370.38,1.24704,1.27815,0.00892,0.72935,0.62615,0.71434,0.51664,1.16762,1.14743,0.01113,0.000792012,0.000792012,0.000792012
15,1405.17,1.22311,1.20967,0.00899,0.68235,0.65462,0.70794,0.49898,1.20749,1.17955,0.01319,0.000783013,0.000783013,0.000783013
16,1435.08,1.23306,1.16497,0.00919,0.75811,0.64289,0.72014,0.52679,1.10189,1.07966,0.01038,0.000774013,0.000774013,0.000774013
17,1466.22,1.21129,1.09795,0.00899,0.75716,0.60674,0.70746,0.50668,1.16017,1.19264,0.01194,0.000765014,0.000765014,0.000765014
18,1498.31,1.17048,1.09854,0.00863,0.78457,0.63277,0.72629,0.52357,1.12278,1.06318,0.01193,0.000756015,0.000756015,0.000756015
19,1596.47,1.17753,1.04583,0.00842,0.8324,0.64241,0.7489,0.54349,1.10705,1.11477,0.01076,0.000747016,0.000747016,0.000747016
20,1679.39,1.19483,1.09683,0.00894,0.83874,0.62757,0.75711,0.54648,1.0486,1.07683,0.00971,0.000738017,0.000738017,0.000738017
21,1787.14,1.17333,1.05573,0.00845,0.77573,0.64971,0.73336,0.53614,1.096,1.13425,0.01117,0.000729018,0.000729018,0.000729018
22,1918.57,1.13567,1.00108,0.00855,0.76067,0.67397,0.7372,0.52519,1.12282,1.1393,0.01063,0.000720019,0.000720019,0.000720019
23,1999.2,1.14875,0.98832,0.00809,0.80684,0.66702,0.75543,0.55649,1.09029,1.08633,0.01104,0.00071102,0.00071102,0.00071102
24,2115.7,1.11841,0.95947,0.00792,0.76487,0.68606,0.76579,0.56382,1.11292,1.04772,0.01163,0.000702021,0.000702021,0.000702021
25,2209.04,1.16234,0.9725,0.00824,0.80828,0.66245,0.75676,0.55058,1.09745,1.13522,0.01,0.000693022,0.000693022,0.000693022
26,2313.89,1.11547,0.95414,0.00802,0.76717,0.72328,0.77015,0.56691,1.09826,0.97347,0.01014,0.000684022,0.000684022,0.000684022
27,2432.79,1.1189,0.91183,0.0075,0.79209,0.71098,0.77847,0.56591,1.05858,1.05212,0.00998,0.000675023,0.000675023,0.000675023
